logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000006712	0.667336166115844	4.73035567158197	10.9206685176693	4.35463832595228e-07	6.15561561862375e-06	6.12207968680896
ENSG00000006715	-0.484153003517618	6.10139471810065	-3.49968914368911	0.00527594378778147	0.0157693374310309	-3.90276605799038
ENSG00000006740	-0.16151368394321	-0.467942709875676	-0.307553730240131	0.764398089022144	0.906640156659017	-8.29906058030231
ENSG00000006744	-0.0141072445543884	4.97737303238078	-0.157648193379058	0.877705792442805	0.997269838828105	-8.33699304166109
ENSG00000006747	-0.258354377857869	-3.4816909966372	-0.848774597337045	0.414819798582045	0.600665115978624	-7.96935128838732
ENSG00000006788	-0.0552853935167441	-3.54478687043412	-0.296371034604474	0.7726898162013	0.906640156659017	-8.30272321769232
ENSG00000006831	-0.825309006376347	9.33837659205351	-5.47449971587712	0.000223158435015957	0.00107327903581902	-0.58354825862341
ENSG00000006837	-0.363293433803888	-1.5350852126498	-0.833670278351692	0.422910153966453	0.608701934829969	-7.9823791532161
ENSG00000007001	-0.11817132667028	6.67673571595312	-0.19366578745344	0.850109694557932	0.974204448733685	-8.33009177120011
ENSG00000007038	3.10862446895044e-15	-3.66898078609012	3.27531975807268e-13	0.999999999999745	0.999999999999745	-8.35057200414121
ENSG00000007047	-1.41099966017896	2.69777676718897	-11.930036419173	1.82517236798111e-07	3.08557485731177e-06	7.06102320594446
ENSG00000007062	-1.03360715146881	-0.0351534750405042	-2.12502093592018	0.0580705883649857	0.123182755732217	-6.29406814537625
ENSG00000007080	1.25698699724929	4.18276725139072	5.61859998568765	0.000180939753483176	0.000895622117487052	-0.360335676355069
ENSG00000007168	-0.504153504715995	6.60517339846817	-6.60916035956914	4.62390947849951e-05	0.00027956412253467	1.0974330339609
ENSG00000007171	6.77832534393974	-2.36856603701841	9.87937438817452	1.15080956853287e-06	1.33336700354111e-05	5.07289775124494
ENSG00000007174	3.99680288865056e-15	-3.63734763946527	4.21112540323631e-13	0.999999999999672	0.999999999999745	-8.35057200414121
ENSG00000007202	-1.30938543275439	7.92860821082661	-13.5587617217852	5.09591300617531e-08	1.18723763355291e-06	8.43806575548649
ENSG00000007216	-0.585242041901897	-0.790408872520313	-0.924871654168721	0.375669536423796	0.557463728095412	-7.90064579508298
ENSG00000007237	-0.801791090603666	3.53982282348952	-2.3131767393882	0.0419674284813291	0.0934349310990451	-5.98265346487202
ENSG00000007255	1.34170689577418	3.37016166835452	6.07355025405902	9.51129135496473e-05	0.000520826861029751	0.325689562887241
ENSG00000007264	1.62026236023368	-0.732849957897182	2.40694058076727	0.0356472321921907	0.0810735559514166	-5.82417453407089
ENSG00000007312	1.55747523789277	-0.0508272381067178	2.09271466979475	0.0613720902454239	0.129025824597572	-6.34651440181688
ENSG00000007314	0.00416536013564572	-2.76539315131333	0.00500308838075305	0.996101322809463	0.999999999999745	-8.35055831188893
ENSG00000007341	-0.0336952085977611	4.1935035519718	-0.37894690075496	0.712230310067604	0.877471926806807	-8.27254948169322
ENSG00000007350	-0.0419633894683069	-3.62066241525848	-0.296089210340964	0.772899173094094	0.906640156659017	-8.30281379997252
ENSG00000007372	0.561670822518807	-2.98794485234704	0.715347166629266	0.489897755936818	0.679840649083385	-8.07722252057511
ENSG00000007376	0.71046588798609	0.750740518618948	1.90105084442514	0.0848940642190237	0.168615404225049	-6.65033596379982
ENSG00000007384	-0.0550478677307624	2.49046673764983	-0.142745664429145	0.88917623860087	0.999999999999745	-8.33943659141524
